name1 name2 expected1 expected2 actual1 actual2
600.perlbench_s 602.gcc_s 0.8511980207055292 0.8222787479999423 0.9706969572549122 0.9686723333106358
600.perlbench_s 605.mcf_s 0.8511980207055292 0.802789100447417 0.947101282052864 0.9601674717185649
600.perlbench_s 620.omnetpp_s 0.8511980207055292 0.8792673486915878 0.9218433463767952 0.9733999058282818
600.perlbench_s 623.xalancbmk_s 0.8511980207055292 0.83920077286826 0.9747438881815079 0.9653102241561009
600.perlbench_s 625.x264_s 0.8511980207055292 0.8354207647447245 0.9706166458862979 0.9767664630902004
600.perlbench_s 631.deepsjeng_s 0.8511980207055292 0.8596461418632958 0.9776686556456293 0.9726776062981848
600.perlbench_s 641.leela_s 0.8511980207055292 0.8383564245985755 0.980010223562049 0.9777227474027625
600.perlbench_s 648.exchange2_s 0.8511980207055292 0.8638533541306078 0.9821352455097188 0.9806864978158031
600.perlbench_s 657.xz_s 0.8511980207055292 0.8529277856044764 0.9667508373228545 0.9682357124748234
600.perlbench_s 603.bwaves_s 0.6171223266309543 0.843609230796411 0.8929476593579534 0.9841200513622645
600.perlbench_s 607.cactuBSSN_s 0.7478978569633988 0.7949462893483394 0.8913279431719845 0.98054465433338
600.perlbench_s 619.lbm_s 0.4243855090341041 0.9410525364218757 0.7299268734906273 0.9831588265575009
600.perlbench_s 627.cam4_s 0.8511980207055292 0.941234597406895 0.9444377833812064 0.9968566922910016
600.perlbench_s 628.pop2_s 0.6754167950649983 0.8009209752902636 0.8692509584986124 0.9758569810128088
600.perlbench_s 638.imagick_s 0.8511980207055292 0.780223412721473 0.904188023427467 0.9001260813234768
600.perlbench_s 644.nab_s 0.8511980207055292 0.771312943808047 0.9000215875106758 0.954964854967218
600.perlbench_s 649.fotonik3d_s 0.5230861086815641 0.9384949644721895 0.738927551785101 0.9913720656137563
600.perlbench_s 654.roms_s 0.6542449729776759 0.8068498759825711 0.7678244980146813 0.9586956483794732
602.gcc_s 605.mcf_s 0.8222787479999423 0.802789100447417 0.9446545638882956 0.967851178987393
602.gcc_s 620.omnetpp_s 0.8222787479999423 0.8792673486915878 0.923047865270497 0.9336483691155643
602.gcc_s 623.xalancbmk_s 0.8222787479999423 0.83920077286826 0.9738412360519638 0.9777509345845066
602.gcc_s 625.x264_s 0.8222787479999423 0.8354207647447245 0.9675751014145197 0.9725585518339639
602.gcc_s 631.deepsjeng_s 0.8222787479999423 0.8596461418632958 0.9592276709668272 0.9537668112559355
602.gcc_s 641.leela_s 0.8222787479999423 0.8383564245985755 0.9743361473112288 0.9728536321859423
602.gcc_s 648.exchange2_s 0.8222787479999423 0.8638533541306078 0.9809401551498766 0.9830866785795639
602.gcc_s 657.xz_s 0.8222787479999423 0.8529277856044764 0.9588954996227435 0.9212451860173648
602.gcc_s 603.bwaves_s 0.5796344595805729 0.843609230796411 0.8390376816518739 0.9763667842996984
602.gcc_s 607.cactuBSSN_s 0.7203383978231085 0.7949462893483394 0.8635217694027386 0.9762838139055326
602.gcc_s 619.lbm_s 0.37944002936721904 0.9410525364218757 0.5962753726980115 0.9591911642396651
602.gcc_s 627.cam4_s 0.8222787479999423 0.941234597406895 0.9362257888677705 0.9753481461521476
602.gcc_s 628.pop2_s 0.6425503039540928 0.8009209752902636 0.8305975386763103 0.9542044214468461
602.gcc_s 638.imagick_s 0.8222787479999423 0.780223412721473 0.9030377627764486 0.9377932168266612
602.gcc_s 644.nab_s 0.8222787479999423 0.771312943808047 0.8971024055531378 0.9638120751139253
602.gcc_s 649.fotonik3d_s 0.49170835469453145 0.9384949644721895 0.705097482266891 0.9724543041595175
602.gcc_s 654.roms_s 0.610136928697739 0.8068498759825711 0.7389480245158428 0.9353815100264841
605.mcf_s 620.omnetpp_s 0.802789100447417 0.8792673486915878 0.947177002382466 0.8999982536678166
605.mcf_s 623.xalancbmk_s 0.802789100447417 0.83920077286826 1.004401297031645 0.9706881353103727
605.mcf_s 625.x264_s 0.802789100447417 0.8354207647447245 0.9352936040110162 0.9699846491970807
